"a","b","tBCB","r_MDA","minref","freq1","lam1","maxtrans","freq2","lam2"
0.709,0.289,0.146,0.70944,0.47816,47.62,6.2999,0.74388,47.6,6.3025
0.635,0.009,0.353,0.65278,0.32667,47.6,6.3025,0.80681,47.56,6.3078
0.399,0.593,0.302,0.61833,0.42253,47.62,6.2999,0.76957,47.6,6.3025
0.896,0.536,0.246,0.71389,0.4522,47.66,6.2946,0.75685,47.62,6.2999
0.491,0.382,0.3,0.74278,0.14177,47.54,6.3105,0.8426,47.5,6.3158
0.84,0.368,0.517,0.77333,0.22146,47.86,6.2683,0.80965,47.8,6.2762
0.465,0.056,0.281,0.66111,0.3106,47.52,6.3131,0.81124,47.48,6.3184
0.821,0.069,0.631,0.61278,0.27641,47.74,6.284,0.81375,47.68,6.2919
0.826,0.527,0.812,0.74056,0.5806,47.8,6.2762,0.67685,47.76,6.2814
0.577,0.801,0.422,0.70556,0.24272,47.68,6.2919,0.8213,47.62,6.2999
0.276,0.572,0.411,0.68167,0.16192,47.62,6.2999,0.83929,47.56,6.3078
0.166,0.225,0.858,0.72111,0.508,47.86,6.2683,0.71903,47.82,6.2735
0.758,0.725,0.687,0.77111,0.52011,47.84,6.2709,0.70636,47.8,6.2762
0.559,0.711,0.765,0.66611,0.38738,47.82,6.2735,0.77256,47.78,6.2788
0.173,0.287,0.583,0.67389,0.094195,47.76,6.2814,0.8406,47.7,6.2893
0.004,0.096,0.318,0.75222,0.13526,47.12,6.3667,0.84507,47.06,6.3748
0.301,0.794,0.536,0.65278,0.20475,47.7,6.2893,0.82927,47.66,6.2946
0.186,0.566,0.485,0.73056,0.011832,47.76,6.2814,0.84294,47.68,6.2919
0.505,0.429,0.892,0.76944,0.93839,40,7.5,0.61633,47.78,6.2788
0.258,0.391,0.818,0.74667,0.52551,47.86,6.2683,0.70858,47.82,6.2735
0.886,0.195,0.432,0.64833,0.32123,47.66,6.2946,0.80582,47.6,6.3025
0.476,0.417,0.321,0.70389,0.22583,47.56,6.3078,0.82817,47.52,6.3131
0.566,0.142,0.116,0.67444,0.4744,47.54,6.3105,0.74498,47.5,6.3158
0.638,0.588,0.491,0.64667,0.29262,47.68,6.2919,0.81134,47.64,6.2972
0.756,0.88,0.339,0.68667,0.41179,47.66,6.2946,0.77298,47.62,6.2999
0.752,0.581,0.65,0.75222,0.40922,47.86,6.2683,0.75741,47.82,6.2735
0.052,0.797,0.878,0.72556,0.55967,47.84,6.2709,0.69177,47.8,6.2762
0.743,0.251,0.785,0.76833,0.5902,47.82,6.2735,0.6694,47.78,6.2788
0.132,0.002,0.637,0.64389,0.13549,47.76,6.2814,0.8373,47.7,6.2893
0.471,0.243,0.466,0.75722,0.0054729,47.8,6.2762,0.84066,47.72,6.2867
0.31,0.765,0.376,0.68,0.24055,47.62,6.2999,0.82387,47.56,6.3078
0.074,0.074,0.106,0.76667,0.11656,45.4,6.6079,0.79072,45.46,6.5992
0.28,0.62,0.576,0.71,0.14277,47.82,6.2735,0.83068,47.76,6.2814
0.031,0.052,0.233,0.62389,0.28976,47.3,6.3425,0.81525,47.26,6.3479
0.17,0.651,0.61,0.65722,0.17889,47.76,6.2814,0.83034,47.72,6.2867
0.191,0.473,0.826,0.675,0.40825,47.84,6.2709,0.76404,47.8,6.2762
0.777,0.141,0.695,0.69556,0.33511,47.84,6.2709,0.78778,47.78,6.2788
0.373,0.628,0.815,0.64556,0.38591,47.82,6.2735,0.77415,47.78,6.2788
0.66,0.496,0.797,0.72944,0.52652,47.84,6.2709,0.7083,47.8,6.2762
0.803,0.02,0.799,0.68222,0.43536,47.84,6.2709,0.75301,47.8,6.2762
0.323,0.426,0.551,0.66278,0.14505,47.72,6.2867,0.83778,47.66,6.2946
0.523,0.537,0.134,0.77611,0.32562,47.58,6.3052,0.79002,47.56,6.3078
0.552,0.866,0.413,0.63111,0.37733,47.66,6.2946,0.78753,47.62,6.2999
0.501,0.631,0.305,0.64167,0.42083,47.64,6.2972,0.76981,47.6,6.3025
0.047,0.779,0.49,0.70056,0.083714,47.7,6.2893,0.84297,47.64,6.2972
0.781,0.004,0.172,0.62333,0.54891,47.66,6.2946,0.71209,47.64,6.2972
0.325,0.298,0.66,0.69667,0.21185,47.84,6.2709,0.81813,47.8,6.2762
0.171,0.804,0.44,0.68722,0.14435,47.66,6.2946,0.8401,47.6,6.3025
0.447,0.191,0.69,0.61889,0.2411,47.78,6.2788,0.81955,47.72,6.2867
0.177,0.644,0.478,0.76389,0.018726,47.88,6.2657,0.83654,47.8,6.2762
0.868,0.238,0.438,0.75889,0.11814,47.76,6.2814,0.83494,47.68,6.2919
0.774,0.739,0.451,0.69444,0.29015,47.68,6.2919,0.8094,47.64,6.2972
0.458,0.675,0.886,0.68556,0.52509,47.82,6.2735,0.71183,47.78,6.2788
0.236,0.303,0.155,0.77167,0.099254,46.78,6.413,0.3793,40.46,7.4147
0.402,0.04,0.555,0.71222,0.082494,47.8,6.2762,0.83802,47.74,6.284
0.795,0.393,0.898,0.62444,0.46086,47.8,6.2762,0.7455,47.76,6.2814
0.525,0.835,0.841,0.77,0.93124,40,7.5,0.6322,47.78,6.2788
0.337,0.034,0.445,0.67667,0.088917,47.58,6.3052,0.84816,47.52,6.3131
0.049,0.204,0.81,0.66389,0.34834,47.86,6.2683,0.78532,47.8,6.2762
0.849,0.025,0.618,0.68,0.24872,47.8,6.2762,0.81429,47.74,6.284
0.871,0.114,0.35,0.76889,0.10346,47.66,6.2946,0.84423,47.6,6.3025
0.624,0.085,0.401,0.77389,0.0069384,47.76,6.2814,0.8441,47.66,6.2946
0.804,0.209,0.121,0.64667,0.57455,47.68,6.2919,0.69535,47.66,6.2946
0.26,0.128,0.179,0.73444,0.15935,47.06,6.3748,0.83135,47.04,6.3776
0.565,0.023,0.342,0.74611,0.07958,47.56,6.3078,0.84958,47.5,6.3158
0.159,0.189,0.105,0.69722,0.28871,46.74,6.4185,0.7789,46.74,6.4185
0.438,0.171,0.653,0.69167,0.21449,47.84,6.2709,0.81862,47.78,6.2788
0.741,0.507,0.153,0.73611,0.48682,47.7,6.2893,0.73836,47.66,6.2946
0.363,0.4,0.297,0.62,0.37455,47.58,6.3052,0.78874,47.54,6.3105
0.453,0.312,0.252,0.64833,0.37907,47.56,6.3078,0.78715,47.52,6.3131
0.206,0.222,0.595,0.73444,0.10537,47.88,6.2657,0.82977,47.82,6.2735
0.817,0.182,0.9,0.66222,0.50787,47.82,6.2735,0.72173,47.78,6.2788
0.864,0.307,0.4,0.73,0.19661,47.68,6.2919,0.83075,47.62,6.2999
0.601,0.032,0.663,0.63333,0.24644,47.78,6.2788,0.81803,47.72,6.2867
0.785,0.395,0.227,0.69556,0.46064,47.68,6.2919,0.75445,47.64,6.2972
0.839,0.583,0.542,0.70889,0.25389,47.78,6.2788,0.81258,47.72,6.2867
0.278,0.72,0.358,0.62889,0.35061,47.62,6.2999,0.79575,47.58,6.3052
0.738,0.514,0.244,0.71444,0.42308,47.66,6.2946,0.7692,47.62,6.2999
0.46,0.09,0.368,0.695,0.15067,47.54,6.3105,0.84417,47.5,6.3158
0.851,0.242,0.267,0.63,0.4963,47.66,6.2946,0.73957,47.62,6.2999
0.727,0.875,0.177,0.66278,0.58018,47.7,6.2893,0.6901,47.66,6.2946
0.032,0.491,0.243,0.62278,0.37356,47.56,6.3078,0.78634,47.54,6.3105
0.662,0.359,0.459,0.615,0.33626,47.64,6.2972,0.80062,47.6,6.3025
0.085,0.673,0.108,0.64944,0.49155,47.7,6.2893,0.71512,47.68,6.2919
0.189,0.483,0.619,0.64333,0.1739,47.76,6.2814,0.83244,47.7,6.2893
0.588,0.051,0.51,0.62556,0.24596,47.66,6.2946,0.82374,47.62,6.2999
0.689,0.676,0.854,0.71333,0.56374,47.82,6.2735,0.68939,47.78,6.2788
0.75,0.372,0.728,0.63333,0.32549,47.8,6.2762,0.79577,47.74,6.284
0.238,0.55,0.331,0.74722,0.013799,47.5,6.3158,0.85007,47.44,6.3238
0.372,0.346,0.469,0.77667,0.026808,47.9,6.263,0.83427,47.82,6.2735
0.469,0.316,0.817,0.62222,0.3569,47.82,6.2735,0.78534,47.76,6.2814
0.554,0.696,0.32,0.72167,0.28345,47.66,6.2946,0.81353,47.6,6.3025
0.253,0.822,0.288,0.70611,0.26107,47.58,6.3052,0.81873,47.54,6.3105
0.494,0.348,0.594,0.75556,0.23175,47.88,6.2657,0.80809,47.84,6.2709
0.828,0.37,0.336,0.63222,0.44506,47.66,6.2946,0.76148,47.62,6.2999
0.844,0.678,0.773,0.61556,0.36924,47.78,6.2788,0.78244,47.74,6.284
0.162,0.64,0.171,0.70278,0.34019,47.56,6.3078,0.78738,47.52,6.3131
0.716,0.211,0.373,0.75778,0.096642,47.68,6.2919,0.84398,47.62,6.2999
0.233,0.633,0.214,0.67444,0.36916,47.58,6.3052,0.78345,47.54,6.3105
0.135,0.258,0.733,0.68778,0.27764,47.86,6.2683,0.8036,47.82,6.2735
0.545,0.774,0.308,0.77167,0.16413,47.62,6.2999,0.83453,47.58,6.3052
0.893,0.84,0.142,0.76722,0.54155,47.7,6.2893,0.70846,47.68,6.2919
0.195,0.236,0.751,0.64333,0.26513,47.82,6.2735,0.81013,47.76,6.2814
0.197,0.375,0.645,0.625,0.18791,47.76,6.2814,0.83083,47.7,6.2893
0.496,0.716,0.894,0.65222,0.48695,47.82,6.2735,0.73231,47.78,6.2788
0.655,0.516,0.764,0.69611,0.42951,47.82,6.2735,0.75449,47.78,6.2788
0.366,0.207,0.477,0.68278,0.087482,47.64,6.2972,0.84577,47.58,6.3052
0.061,0.649,0.102,0.74278,0.29358,47.38,6.3318,0.7738,47.38,6.3318
0.308,0.267,0.286,0.64611,0.29226,47.48,6.3184,0.81524,47.44,6.3238
0.014,0.436,0.504,0.74778,0.036656,47.84,6.2709,0.83803,47.76,6.2814
0.256,0.864,0.778,0.76389,0.53704,47.86,6.2683,0.70107,47.82,6.2735
0.041,0.73,0.756,0.75167,0.46058,47.88,6.2657,0.73834,47.84,6.2709
0.464,0.859,0.289,0.685,0.38264,47.64,6.2972,0.78441,47.62,6.2999
0.184,0.767,0.448,0.71833,0.063614,47.7,6.2893,0.84473,47.64,6.2972
0.579,0.202,0.668,0.68278,0.26244,47.82,6.2735,0.80955,47.78,6.2788
0.251,0.781,0.7,0.65944,0.2721,47.82,6.2735,0.80843,47.76,6.2814
0.462,0.438,0.772,0.68944,0.39396,47.84,6.2709,0.76834,47.8,6.2762
0.433,0.878,0.652,0.61944,0.27419,47.76,6.2814,0.81291,47.7,6.2893
0.88,0.86,0.496,0.73389,0.25729,47.76,6.2814,0.81019,47.72,6.2867
0.732,0.584,0.355,0.74333,0.23852,47.66,6.2946,0.82193,47.62,6.2999
0.606,0.458,0.897,0.69,0.54606,47.82,6.2735,0.70075,47.78,6.2788
0.424,0.817,0.15,0.75944,0.36802,47.64,6.2972,0.77915,47.62,6.2999
0.593,0.323,0.789,0.70111,0.44466,47.84,6.2709,0.74797,47.8,6.2762
0.536,0.339,0.534,0.625,0.24646,47.68,6.2919,0.82333,47.64,6.2972
0.056,0.808,0.52,0.73278,0.058217,47.84,6.2709,0.83787,47.78,6.2788
0.382,0.505,0.398,0.73611,0.04356,47.64,6.2972,0.8463,47.58,6.3052
0.492,0.5,0.871,0.63389,0.43279,47.82,6.2735,0.75661,47.76,6.2814
0.857,0.723,0.692,0.64778,0.33892,47.78,6.2788,0.79141,47.74,6.284
0.016,0.038,0.526,0.69778,0.013122,47.72,6.2867,0.84513,47.64,6.2972
0.121,0.776,0.725,0.70222,0.33,47.86,6.2683,0.78851,47.82,6.2735
0.043,0.278,0.209,0.73222,0.079241,46.94,6.3911,0.8443,46.92,6.3939
0.786,0.227,0.546,0.62722,0.27868,47.7,6.2893,0.81499,47.66,6.2946
0.411,0.014,0.873,0.64111,0.41832,47.82,6.2735,0.76212,47.78,6.2788
0.739,0.552,0.377,0.77389,0.13951,47.7,6.2893,0.835,47.64,6.2972
0.546,0.889,0.788,0.67833,0.43046,47.82,6.2735,0.75536,47.78,6.2788
0.572,0.57,0.813,0.75333,0.58764,47.82,6.2735,0.67221,47.78,6.2788
0.878,0.895,0.204,0.65167,0.5809,47.68,6.2919,0.69049,47.66,6.2946
0.002,0.216,0.836,0.75278,0.5366,47.86,6.2683,0.70258,47.82,6.2735
0.027,0.411,0.735,0.7,0.30566,47.88,6.2657,0.79538,47.82,6.2735
0.537,0.198,0.256,0.66778,0.36115,47.56,6.3078,0.79446,47.52,6.3131
0.354,0.721,0.744,0.69778,0.3754,47.84,6.2709,0.77456,47.8,6.2762
0.575,0.418,0.603,0.68056,0.22203,47.78,6.2788,0.82043,47.72,6.2867
0.73,0.806,0.746,0.73556,0.50678,47.84,6.2709,0.71732,47.8,6.2762
0.748,0.144,0.581,0.72444,0.2218,47.82,6.2735,0.81564,47.76,6.2814
0.296,0.657,0.429,0.73889,0.031122,47.7,6.2893,0.84513,47.64,6.2972
0.198,0.152,0.446,0.655,0.1055,47.54,6.3105,0.84804,47.48,6.3184
0.822,0.79,0.578,0.71167,0.29491,47.8,6.2762,0.80026,47.74,6.284
0.647,0.799,0.528,0.63778,0.30653,47.7,6.2893,0.80687,47.64,6.2972
0.404,0.532,0.538,0.72111,0.12308,47.8,6.2762,0.83334,47.74,6.284
0.498,0.851,0.207,0.73389,0.39429,47.64,6.2972,0.77719,47.62,6.2999
0.754,0.685,0.512,0.76722,0.25066,47.84,6.2709,0.80493,47.78,6.2788
0.808,0.877,0.753,0.71278,0.47696,47.82,6.2735,0.7331,47.78,6.2788
0.381,0.611,0.43,0.77056,0.010629,47.78,6.2788,0.83967,47.7,6.2893
0.487,0.586,0.425,0.69167,0.20452,47.66,6.2946,0.8309,47.62,6.2999
0.604,0.666,0.193,0.62722,0.55763,47.7,6.2893,0.70394,47.66,6.2946
0.532,0.272,0.677,0.66056,0.25478,47.8,6.2762,0.81309,47.76,6.2814
0.873,0.449,0.669,0.72444,0.37648,47.84,6.2709,0.77187,47.8,6.2762
0.141,0.629,0.781,0.66833,0.35202,47.84,6.2709,0.78419,47.8,6.2762
0.202,0.518,0.664,0.69111,0.21705,47.84,6.2709,0.81789,47.78,6.2788
0.521,0.66,0.47,0.71111,0.17215,47.72,6.2867,0.83291,47.66,6.2946
0.767,0.638,0.14,0.65,0.60221,47.72,6.2867,0.67638,47.68,6.2919
0.574,0.357,0.175,0.64056,0.49989,47.64,6.2972,0.73304,47.6,6.3025
0.653,0.548,0.741,0.77667,0.57171,47.84,6.2709,0.67921,47.8,6.2762
0,0.855,0.257,0.76222,0.076265,47.42,6.3264,0.84253,47.4,6.3291
0.409,0.597,0.77,0.615,0.32196,47.8,6.2762,0.79729,47.76,6.2814
0.103,0.9,0.507,0.66111,0.16842,47.68,6.2919,0.83603,47.62,6.2999
0.4,0.662,0.571,0.63833,0.2305,47.72,6.2867,0.82412,47.66,6.2946
0.294,0.105,0.247,0.68833,0.21234,47.34,6.3371,0.83276,47.3,6.3425
0.595,0.601,0.334,0.61389,0.45411,47.66,6.2946,0.75721,47.62,6.2999
0.507,0.265,0.211,0.75667,0.20819,47.46,6.3211,0.83162,47.42,6.3264
0.669,0.33,0.597,0.65833,0.23842,47.76,6.2814,0.8198,47.7,6.2893
0.776,0.065,0.323,0.63056,0.42635,47.64,6.2972,0.77043,47.6,6.3025
0.444,0.756,0.475,0.67833,0.21443,47.68,6.2919,0.82764,47.62,6.2999
0.128,0.492,0.414,0.75333,0.098488,47.66,6.2946,0.84154,47.58,6.3052
0.602,0.17,0.53,0.65056,0.21134,47.7,6.2893,0.8293,47.64,6.2972
0.759,0.626,0.727,0.71556,0.43959,47.84,6.2709,0.74909,47.78,6.2788
0.312,0.296,0.643,0.77333,0.30794,47.92,6.2604,0.7875,47.88,6.2657
0.619,0.092,0.215,0.77278,0.20344,47.48,6.3184,0.83495,47.44,6.3238
0.216,0.498,0.13,0.66889,0.40612,47.56,6.3078,0.75726,47.52,6.3131
0.384,0.031,0.716,0.66722,0.25955,47.84,6.2709,0.81013,47.78,6.2788
0.161,0.447,0.19,0.74389,0.13273,47.16,6.3613,0.83465,47.14,6.364
0.581,0.215,0.39,0.68333,0.22202,47.62,6.2999,0.8308,47.56,6.3078
0.42,0.831,0.119,0.61333,0.59197,47.72,6.2867,0.68044,47.7,6.2893
0.51,0.637,0.757,0.63556,0.33947,47.8,6.2762,0.79101,47.76,6.2814
0.133,0.61,0.64,0.76111,0.27889,47.92,6.2604,0.79645,47.86,6.2683
0.263,0.206,0.488,0.74889,0.0535,47.82,6.2735,0.83917,47.72,6.2867
0.168,0.016,0.717,0.70333,0.26608,47.88,6.2657,0.80483,47.84,6.2709
0.736,0.276,0.11,0.61333,0.59335,47.7,6.2893,0.68207,47.68,6.2919
0.265,0.094,0.568,0.72056,0.056699,47.84,6.2709,0.83728,47.76,6.2814
0.7,0.884,0.183,0.73278,0.50659,47.72,6.2867,0.72941,47.68,6.2919
0.631,0.647,0.672,0.69889,0.33514,47.82,6.2735,0.78797,47.78,6.2788
0.584,0.748,0.352,0.66667,0.37933,47.66,6.2946,0.78625,47.62,6.2999
0.287,0.115,0.866,0.66333,0.4291,47.84,6.2709,0.75662,47.8,6.2762
0.687,0.373,0.148,0.66556,0.53273,47.68,6.2919,0.71533,47.64,6.2972
0.18,0.166,0.881,0.68833,0.47721,47.84,6.2709,0.73491,47.8,6.2762
0.328,0.714,0.829,0.67222,0.43533,47.84,6.2709,0.75353,47.8,6.2762
0.824,0.691,0.23,0.67167,0.53622,47.68,6.2919,0.71622,47.64,6.2972
0.429,0.117,0.283,0.72611,0.14241,47.44,6.3238,0.84539,47.4,6.3291
0.364,0.15,0.56,0.65611,0.13282,47.72,6.2867,0.84009,47.66,6.2946
0.792,0.523,0.552,0.67111,0.2646,47.74,6.284,0.81429,47.68,6.2919
0.714,0.545,0.201,0.68611,0.50653,47.7,6.2893,0.73135,47.66,6.2946
0.124,0.487,0.238,0.67667,0.27479,47.48,6.3184,0.81539,47.46,6.3211
0.036,0.563,0.793,0.74722,0.49223,47.86,6.2683,0.72446,47.84,6.2709
0.009,0.343,0.328,0.75611,0.12337,47.28,6.3452,0.84572,47.22,6.3532
0.678,0.658,0.502,0.71722,0.21798,47.76,6.2814,0.82067,47.7,6.2893
0.352,0.687,0.307,0.70056,0.26423,47.6,6.3025,0.81888,47.56,6.3078
0.069,0.469,0.591,0.66333,0.12649,47.76,6.2814,0.83793,47.7,6.2893
0.482,0.689,0.518,0.73722,0.15336,47.82,6.2735,0.82791,47.74,6.284
0.271,0.133,0.89,0.76444,0.93363,40,7.5,0.64656,47.78,6.2788
0.608,0.478,0.397,0.70444,0.22276,47.66,6.2946,0.82817,47.62,6.2999
0.55,0.007,0.114,0.63722,0.50245,47.54,6.3105,0.73402,47.5,6.3158
0.644,0.103,0.749,0.73944,0.46498,47.86,6.2683,0.73641,47.82,6.2735
0.137,0.072,0.458,0.76278,0.1502,47.8,6.2762,0.83175,47.68,6.2919
0.29,0.256,0.182,0.62389,0.40285,47.48,6.3184,0.77492,47.44,6.3238
0.626,0.759,0.137,0.69278,0.55989,47.66,6.2946,0.69891,47.64,6.2972
0.153,0.844,0.807,0.74167,0.51658,47.86,6.2683,0.71318,47.82,6.2735
0.348,0.148,0.847,0.71444,0.49681,47.84,6.2709,0.72443,47.82,6.2735
0.142,0.758,0.635,0.62944,0.21768,47.74,6.284,0.82518,47.7,6.2893
0.005,0.528,0.313,0.68333,0.18705,47.5,6.3158,0.83615,47.46,6.3211
0.884,0.44,0.613,0.64,0.28582,47.74,6.284,0.80976,47.68,6.2919
0.224,0.833,0.845,0.63056,0.39352,47.82,6.2735,0.77221,47.78,6.2788
0.806,0.332,0.587,0.68111,0.24659,47.78,6.2788,0.81603,47.72,6.2867
0.334,0.253,0.129,0.71722,0.30116,47.26,6.3479,0.7951,47.24,6.3506
0.889,0.404,0.724,0.76611,0.53479,47.84,6.2709,0.69976,47.8,6.2762
0.361,0.702,0.332,0.65667,0.34088,47.6,6.3025,0.798,47.58,6.3052
0.597,0.565,0.627,0.75056,0.33891,47.86,6.2683,0.78157,47.82,6.2735
0.063,0.326,0.161,0.665,0.30243,47.26,6.3479,0.80203,47.24,6.3506
0.117,0.06,0.382,0.62222,0.1995,47.46,6.3211,0.83774,47.42,6.3264
0.375,0.512,0.549,0.63833,0.20659,47.7,6.2893,0.82986,47.64,6.2972
0.57,0.101,0.523,0.70833,0.1214,47.76,6.2814,0.83704,47.7,6.2893
0.2,0.406,0.844,0.70556,0.4756,47.86,6.2683,0.73469,47.82,6.2735
0.417,0.135,0.661,0.77056,0.35089,47.9,6.263,0.77566,47.86,6.2683
0.09,0.022,0.616,0.75056,0.14151,47.92,6.2604,0.82238,47.86,6.2683
0.314,0.543,0.825,0.69889,0.46083,47.84,6.2709,0.74147,47.8,6.2762
0.344,0.364,0.72,0.67056,0.27914,47.84,6.2709,0.80508,47.78,6.2788
0.319,0.718,0.278,0.72778,0.2184,47.56,6.3078,0.82738,47.52,6.3131
0.445,0.444,0.828,0.66,0.41452,47.82,6.2735,0.76259,47.78,6.2788
0.801,0.442,0.736,0.67,0.37096,47.82,6.2735,0.77808,47.76,6.2814
0.211,0.112,0.688,0.67111,0.19814,47.84,6.2709,0.82271,47.78,6.2788
0.33,0.335,0.294,0.67889,0.2341,47.48,6.3184,0.82827,47.44,6.3238
0.377,0.063,0.656,0.74,0.25956,47.9,6.263,0.80311,47.84,6.2709
0.449,0.595,0.639,0.76167,0.34543,47.88,6.2657,0.7783,47.84,6.2709
0.83,0.179,0.456,0.71778,0.17329,47.72,6.2867,0.83318,47.64,6.2972
0.193,0.157,0.156,0.61111,0.39782,47.36,6.3345,0.77499,47.32,6.3398
0.568,0.26,0.424,0.73667,0.073393,47.7,6.2893,0.8452,47.62,6.2999
0.227,0.619,0.454,0.62611,0.2527,47.62,6.2999,0.8225,47.58,6.3052
0.07,0.197,0.621,0.70389,0.10804,47.86,6.2683,0.83315,47.8,6.2762
0.586,0.898,0.539,0.67333,0.25379,47.74,6.284,0.81692,47.68,6.2919
0.04,0.229,0.647,0.65667,0.14343,47.8,6.2762,0.83398,47.74,6.284
0.599,0.354,0.802,0.75,0.91873,40,7.5,0.69125,47.8,6.2762
0.245,0.213,0.34,0.68389,0.12466,47.42,6.3264,0.8472,47.38,6.3318
